0	all my sons have grown up with computer games but im not interested i see them as a male thing	place ##holder	a	b	DET DET NOUN AUX VERB ADP ADP NOUN NOUN CCONJ PROPN PART ADJ PRON VERB PRON SCONJ DET ADJ NOUN	predet poss nsubj aux ROOT prt prep compound pobj cc nsubj neg ROOT nsubj ROOT dobj prep det amod pobj
25	in choosing a husband a woman will do well to put ambition at the top of her list of desirable qualities	place ##holder	a	b	ADP VERB DET NOUN DET NOUN VERB AUX ADV PART VERB NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN	ROOT pcomp det dobj det nsubj aux relcl advmod aux xcomp dobj prep det pobj prep poss pobj prep amod pobj
26	on the average women should be regarded as less capable of contributing to economic production than are men	place ##holder	a	b	ADP DET ADJ NOUN VERB AUX VERB SCONJ ADV ADJ ADP VERB ADP ADJ NOUN SCONJ AUX NOUN	prep det amod pobj aux auxpass ROOT prep advmod amod prep pcomp prep amod pobj mark advcl nsubj
27	a good wife knows it doesn ##t matter who does a managerial job as long as its the best man for the job i ##wd ##20 ##17	place ##holder	a	b	DET ADJ NOUN VERB PRON ADJ ADJ NOUN PRON AUX DET ADJ NOUN ADV ADV SCONJ DET DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN	det amod nsubj ROOT dobj amod amod advmod nsubj relcl det amod dobj advmod advmod prep poss det amod pobj prep det pobj punct punct punct punct
28	lo ##l r t i don ##t think women should participate in move ##mber like the physically growing a mustache part	place ##holder	a	b	PROPN PROPN PROPN NOUN PRON NOUN NOUN VERB NOUN VERB VERB ADP NOUN NOUN SCONJ DET ADV VERB DET NOUN NOUN	compound compound compound ROOT nsubj nsubj nsubj ROOT nsubj aux ccomp prep pobj pobj prep det advmod amod det amod pobj
29	as head of the household the father should final authority over his children	place ##holder	a	b	SCONJ NOUN ADP DET NOUN DET PROPN VERB ADJ NOUN ADP DET NOUN	prep pobj prep det pobj det nsubj ROOT amod dobj prep poss pobj
30	i just saw a woman master ##fully parallel park that s a first for me	place ##holder	a	b	PRON ADV VERB DET NOUN ADV ADV ADJ NOUN DET VERB DET ADJ ADP PRON	nsubj advmod ROOT det nsubj advmod advmod ccomp dobj nsubj relcl det attr prep pobj
31	rt i wouldn ##t mind a stay at home wife don ##t need my kids being raised by someone other than family	place ##holder	a	b	PROPN PRON PROPN PROPN VERB DET NOUN ADP NOUN NOUN NOUN NOUN VERB DET NOUN AUX VERB ADP PRON ADJ SCONJ NOUN	intj nsubj compound compound ROOT det dobj prep compound compound pobj pobj ROOT poss nsubjpass auxpass ccomp agent pobj amod prep pobj
33	this is the exact reason why women shouldn ##t be involved not sex ##ist but situations like this will always be blown out of proportion	place ##holder	a	b	DET AUX DET ADJ NOUN ADV NOUN NOUN NOUN AUX VERB PART ADJ ADJ CCONJ NOUN SCONJ DET VERB ADV AUX VERB SCONJ ADP NOUN	nsubj ROOT det amod attr advmod compound nsubjpass nsubjpass auxpass relcl neg oprd oprd cc nsubjpass prep pobj aux advmod auxpass conj prep prep pobj
36	lo ##l something about a guy who takes self ##ies that ##s a girl thing	place ##holder	a	b	VERB VERB PRON ADP DET NOUN PRON VERB NOUN NOUN VERB VERB DET NOUN NOUN	intj intj nsubj prep det pobj nsubj relcl dobj dobj ROOT ROOT det compound dobj
37	i hate female cops they be taking they job 2 serious	place ##holder	a	b	PRON VERB ADJ NOUN PRON VERB VERB PRON VERB NUM ADJ	nsubj ROOT amod dobj nsubj aux relcl dobj ROOT nummod amod
39	i can ##t take a female rapper serious when she talking about selling drugs	place ##holder	a	b	PRON NOUN NOUN VERB DET ADJ NOUN ADJ ADV PRON VERB ADP VERB NOUN	nsubj ROOT ROOT ccomp det amod dobj advcl advmod nsubj advcl prep pcomp dobj
40	this is not sex ##ist but i cannot handle women announcer ##s i am about to mute the tv duke ##vs ##un ##c	place ##holder	a	b	DET AUX PART ADJ ADJ CCONJ PRON VERB VERB NOUN NOUN NOUN PRON AUX ADJ PART VERB DET NOUN NOUN NOUN NOUN NOUN	nsubj ROOT neg acomp acomp cc nsubj aux ROOT compound dobj dobj nsubj relcl acomp aux xcomp det compound dobj dobj dobj dobj
41	bog ##gle eyes but loved her voice not keen on girls playing guitars	place ##holder	a	b	PROPN PROPN NOUN CCONJ VERB DET NOUN PART ADJ ADP NOUN VERB NOUN	compound compound ROOT cc conj poss dobj neg ccomp prep nsubj pcomp dobj
44	i think its wrong for a h s girl to wrestle boys	place ##holder	a	b	PRON VERB DET NOUN ADP DET NOUN PART NOUN PART VERB NOUN	nsubj ROOT poss nsubj mark det compound compound nsubj aux ccomp dobj
45	when i see a man telling me how to navigate mom cent ##ric marketing im automatically skeptical of the advice	place ##holder	a	b	ADV PRON VERB DET NOUN VERB PRON ADV PART VERB NOUN PROPN PROPN PROPN PROPN ADV ADJ ADP DET NOUN	advmod nsubj ROOT det nsubj ccomp dobj advmod aux xcomp compound compound compound compound dobj advmod advmod prep det pobj
48	your man isn ##t your man until he proves so let him step up to the plate and make mature moves like a man like he should	place ##holder	a	b	DET NOUN VERB VERB DET NOUN ADP PRON VERB ADV VERB PRON VERB ADP ADP DET NOUN CCONJ VERB ADJ NOUN SCONJ DET NOUN SCONJ PRON VERB	poss nsubj ROOT ROOT poss dobj mark nsubj advcl advmod ROOT nsubj ccomp prt prep det pobj cc conj amod dobj prep det pobj prep pobj ccomp
51	radical lo ##l no call me sex ##ist but a girl playing bf ##4 lo ##l no	place ##holder	a	b	ADJ INTJ INTJ DET VERB PRON NOUN NOUN CCONJ DET NOUN VERB PROPN PROPN NOUN NOUN INTJ	amod ROOT ROOT det ROOT dobj oprd oprd cc det conj acl compound compound ROOT ROOT intj
52	women can ##t announce football games especially the one on big ten network	place ##holder	a	b	NOUN PROPN PROPN VERB NOUN NOUN ADV DET NUM ADP ADJ NUM NOUN	nmod compound compound compound compound ROOT advmod det appos prep amod nummod pobj
57	taking care of kids cooking food doing dishes and cleaning house is a tough job appreciate them happy women ##sd ##ay to shi ##rish k	place ##holder	a	b	VERB NOUN ADP NOUN VERB NOUN VERB NOUN CCONJ VERB NOUN AUX DET ADJ NOUN VERB PRON ADJ NOUN NOUN NOUN PART VERB VERB X	csubj dobj prep pobj acl npadvmod advcl dobj cc compound conj ROOT det amod attr ROOT dobj ccomp npadvmod npadvmod npadvmod aux xcomp xcomp dobj
58	i do not believe a woman can do everything a man can if so god wouldn ##t have made them different	place ##holder	a	b	PRON AUX PART VERB DET NOUN VERB AUX PRON DET NOUN VERB SCONJ ADV PROPN PROPN PROPN AUX VERB PRON ADJ	nsubj aux neg ROOT det nsubj aux ccomp dobj det nsubj ROOT mark advmod compound nsubj nsubj aux advcl nsubj ccomp
60	rt im not sex ##ist but women in letterman ##a jackets look so weird to me	place ##holder	a	b	PROPN PROPN PART ADJ ADJ CCONJ NOUN ADP PROPN PROPN NOUN VERB ADV ADJ ADP PRON	compound nsubj neg ROOT ROOT cc nsubj prep compound compound pobj conj advmod acomp prep pobj
61	call me traditional ##ist call me old fashioned where i grew up a lady doesn ##t ghost ##bus ##t	place ##holder	a	b	VERB PRON NOUN NOUN VERB PRON ADJ ADJ ADV PRON VERB ADP DET NOUN NOUN NOUN NOUN NOUN NOUN	nsubj dobj oprd oprd ROOT dobj oprd oprd advmod nsubj ccomp prt det compound compound compound dobj dobj dobj
66	is this something husbands are supposed to know i thought that kind of gossip was a chick thing	place ##holder	a	b	AUX DET PRON NOUN AUX VERB PART VERB PRON VERB DET NOUN ADP NOUN AUX DET NOUN NOUN	ROOT nsubj attr nsubjpass auxpass relcl aux xcomp nsubj ccomp det nsubj prep pobj ccomp det compound attr
68	i hate movies where the girl is the hero i mean it just all looks so corn ##y	place ##holder	a	b	PRON VERB NOUN ADV DET NOUN AUX DET NOUN PRON VERB PRON ADV DET VERB ADV ADJ ADJ	nsubj ROOT dobj advmod det nsubj relcl det attr nsubj parataxis nsubj advmod nsubj ROOT advmod acomp acomp
69	first take is painful to watch i can ##t stand listening to woman b ##lab ##ber ##ing about sports they have no clue about	place ##holder	a	b	ADV VERB AUX ADJ PART VERB PRON NOUN NOUN VERB VERB ADP NOUN VERB VERB VERB VERB ADP NOUN PRON AUX DET NOUN ADP	amod nsubj ROOT acomp aux xcomp nsubj amod amod ccomp acl prep pobj acl acl acl acl prep pobj nsubj ROOT det dobj prep
70	no woman should be a president world leaders would not take her seriously	place ##holder	a	b	DET NOUN VERB AUX DET NOUN NOUN NOUN VERB PART VERB PRON ADV	det nsubj aux ROOT det compound compound nsubj aux neg ccomp dobj advmod
71	you won ##t answer like most feminist ##s because the answer expose ##s your opposition to equality you fool only yourselves	place ##holder	a	b	PRON VERB VERB VERB SCONJ ADJ NOUN NOUN SCONJ DET NOUN VERB VERB DET NOUN PART NOUN PRON VERB ADV PRON	nsubj compound compound ROOT prep amod pobj pobj mark det nsubj advcl advcl poss dobj prep pobj nsubj relcl advmod dobj
72	some may i refuse to watch a show with a strong female lead ordering men around like children just not bel ##ie ##vable	place ##holder	a	b	DET VERB PRON VERB PART VERB DET NOUN ADP DET ADJ ADJ NOUN VERB NOUN ADP INTJ NOUN ADV PART ADJ ADJ ADJ	nsubj aux nsubj ROOT aux xcomp det dobj prep det amod amod pobj acl dobj advmod prep pobj advmod neg advcl advcl advcl
73	ok a woman beside me just hawke ##d and spat in the gut ##ter un ##be ##coming	place ##holder	a	b	INTJ DET NOUN ADP PRON ADV VERB VERB CCONJ VERB ADP DET NOUN NOUN ADJ ADJ ADJ	intj det nsubj prep pobj advmod ROOT ROOT cc conj prep det pobj pobj dep dep dep
74	mtv ##2 ##s making the show girl code no im sorry ladies girl code doesn ##t exist you all fucking hate each other	place ##holder	a	b	PROPN PROPN PROPN VERB DET NOUN NOUN NOUN INTJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB PRON DET INTJ VERB DET ADJ	advmod advmod advmod ROOT det compound compound dobj det nsubj amod compound compound compound nsubj nsubj ROOT nsubj appos ccomp dobj det dobj
77	i don ##t think girls should have an opinion on football most of ya ##ll don ##t know shit s o to the ones that do tho	place ##holder	a	b	PRON VERB VERB VERB NOUN VERB AUX DET NOUN ADP NOUN ADJ ADP PROPN PROPN PROPN PROPN VERB PROPN PROPN NOUN ADP DET NOUN DET AUX NOUN	nsubj nsubj nsubj ROOT nsubj aux ccomp det dobj prep pobj nsubj prep amod amod pobj pobj ROOT compound ROOT ROOT prep det pobj nsubj relcl dobj
78	honestly i just want a women to do women things feed me clean up mother my kids and make my jimmy happy	place ##holder	a	b	ADV PRON ADV VERB DET NOUN PART AUX NOUN NOUN VERB PRON VERB ADP NOUN DET NOUN CCONJ VERB DET PROPN ADJ	advmod nsubj advmod ROOT det nsubj aux ccomp dative nsubj ROOT dobj oprd prt dobj poss dobj cc conj poss nsubj ccomp
79	act like a lady think like a man	place ##holder	a	b	VERB SCONJ DET NOUN NOUN SCONJ DET NOUN	nsubj prep det pobj ROOT prep det pobj
83	okay sex ##ist rt i can ##t understand what would possess a girl to get a tattoo tattoos are a man thing	place ##holder	a	b	INTJ PROPN PROPN PROPN PRON NOUN NOUN VERB PRON VERB VERB DET NOUN PART AUX DET NOUN NOUN AUX DET NOUN NOUN	ROOT amod amod ROOT nsubj nsubj nsubj ROOT nsubj aux csubj det dobj aux xcomp det compound dobj ccomp det compound attr
84	no one cares what u think call me sex ##ist but heels no heels sorry ladies also nasty nails vomit look clean at least	place ##holder	a	b	DET NOUN VERB PRON PRON VERB VERB PRON NOUN NOUN CCONJ NOUN DET NOUN ADJ NOUN ADV ADJ NOUN VERB VERB ADJ ADV ADJ	det nsubj ROOT nsubj nsubj ccomp ccomp dobj oprd oprd cc conj det nsubj ROOT nsubj advmod amod compound nsubj ccomp acomp advmod advmod
85	that ##s why i don ##t really take girls opinion on music	place ##holder	a	b	NOUN NOUN ADV PRON VERB VERB ADV VERB NOUN NOUN ADP NOUN	ROOT ROOT advmod nsubj nsubj nsubj advmod ccomp compound dobj prep pobj
86	i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality	place ##holder	a	b	PRON VERB VERB VERB ADV NOUN ADV VERB NOUN PART VERB NOUN CCONJ VERB ADP NOUN ADP PRON ADV ADP DET ADJ NOUN NOUN NOUN	nsubj ROOT ROOT ROOT advmod nsubj advmod ccomp nsubj aux ccomp dobj cc conj prt dobj dative pobj advmod prep det amod compound compound pobj
88	my uncle was shot 5 times and died because he kept denying his female stalker stop acting like males lives are easy	place ##holder	a	b	DET NOUN AUX VERB NUM NOUN CCONJ VERB SCONJ PRON VERB VERB DET ADJ NOUN VERB VERB SCONJ NOUN NOUN AUX ADJ	poss nsubjpass auxpass ROOT nummod npadvmod cc conj mark nsubj advcl xcomp poss amod dobj advcl xcomp prep compound nsubj ROOT acomp
89	i don ##t like it i love it go ##be ##avs rt how does a guy not like football don ##t get it	place ##holder	a	b	PRON VERB VERB SCONJ PRON PRON VERB PRON VERB VERB VERB PROPN ADV AUX DET NOUN PART SCONJ NOUN NOUN NOUN AUX PRON	nsubj ROOT ROOT prep pobj nsubj ROOT nsubj ccomp ccomp ccomp intj advmod aux det nsubj neg prep compound pobj pobj ROOT dobj
90	im not sex ##ist but the day that the marine corps makes infantry open to women or we get a female com ##mada ##nt is the day i take off my uniform	place ##holder	a	b	PROPN PART ADJ ADJ CCONJ DET NOUN DET DET PROPN PROPN VERB NOUN ADJ ADP NOUN CCONJ PRON VERB DET ADJ NOUN NOUN NOUN AUX DET NOUN PRON VERB ADP DET NOUN	nsubj neg ROOT ROOT cc det ROOT mark det amod nsubj relcl nsubj ccomp prep pobj cc nsubj conj det amod nsubj nsubj nsubj ROOT det attr nsubj relcl prt poss dobj
91	male opinion alert i swear im not sex ##ist but wnba ill pass lo ##l	place ##holder	a	b	ADJ NOUN NOUN PRON VERB PROPN PART ADJ ADJ CCONJ PROPN PROPN PROPN VERB VERB	amod compound ROOT nsubj ROOT nsubj neg ccomp ccomp cc nsubj amod ROOT punct punct
100	the stay at home mum ##s of this country need to turn off the tel ##e and go do some d	place ##holder	a	b	DET NOUN ADP NOUN NOUN NOUN ADP DET NOUN VERB PART VERB ADP DET PROPN PROPN CCONJ VERB AUX DET NOUN	det nsubj prep compound pobj pobj prep det pobj ROOT aux xcomp prt det dobj dobj cc conj advcl det dobj
104	ha ##ha i would never propose anyway its a mans job p	place ##holder	a	b	INTJ INTJ PRON VERB ADV VERB ADV DET DET NOUN NOUN NOUN	intj intj nsubj aux neg ROOT advmod poss det compound compound dobj
105	everyday ##se ##xi ##sm i quote personally i think women shouldn ##t play soccer drive trucks bc its not elegant get ##real	place ##holder	a	b	NOUN NOUN NOUN NOUN PRON VERB ADV PRON VERB NOUN PROPN PROPN VERB NOUN PROPN PROPN PROPN DET PART ADJ NOUN NOUN	ROOT ROOT ROOT ROOT nsubj relcl advmod nsubj ROOT compound nsubj nsubj ccomp compound compound compound dobj poss neg amod dobj dobj
108	especially as a woman we have better sense period	place ##holder	a	b	ADV SCONJ DET NOUN PRON AUX ADJ NOUN NOUN	advmod ROOT det pobj nsubj relcl amod compound dobj
112	rt i hate watching football sports with most women	place ##holder	a	b	PROPN PRON VERB VERB NOUN NOUN ADP ADJ NOUN	ROOT nsubj parataxis xcomp compound dobj prep amod pobj
114	ma ##u main t ##p bing ##ung ins ##tal ##nya rt rt when i play sims 3 i put my wife ##s bed in the kitchen d	place ##holder	a	b	PROPN PROPN ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV PRON VERB VERB NUM PRON VERB DET NOUN NOUN NOUN ADP DET NOUN PROPN	compound compound amod compound compound compound compound ROOT ROOT ROOT compound ROOT advmod nsubj ROOT dobj nummod nsubj ROOT poss amod amod dobj prep det compound pobj
116	no kurt ju ##s said i have a deep voice for a girl like t ##f	place ##holder	a	b	DET PROPN PROPN PROPN VERB PRON AUX DET ADJ NOUN ADP DET NOUN SCONJ ADJ ADJ	det compound nsubj nsubj ROOT nsubj ccomp det amod dobj prep det pobj prep pobj pobj
117	espn now has a woman heading their sunday ##n ##fl ##co ##unt ##down show very few women care about football and none have played	place ##holder	a	b	PROPN ADV AUX DET NOUN VERB DET ADJ ADJ ADJ ADJ ADJ ADJ NOUN ADV ADJ NOUN VERB ADP NOUN CCONJ NOUN AUX VERB	nsubj advmod ROOT det nsubj acl poss amod amod amod amod amod amod dobj advmod amod nsubj ccomp prep pobj cc nsubj aux conj
119	you ##ll probably i trust girls more than boys like i will refuse to meet any male almost ever	place ##holder	a	b	PROPN PROPN ADV PRON VERB NOUN ADV SCONJ NOUN SCONJ PRON VERB VERB PART VERB DET NOUN ADV ADV	ROOT ROOT advmod nsubj ROOT dobj advmod prep pobj mark nsubj aux advcl aux xcomp det dobj advmod advmod
122	when both parents are employed and the child gets sick at school the school should call the mother rather than the father	place ##holder	a	b	ADV DET NOUN AUX VERB CCONJ DET NOUN VERB ADJ ADP NOUN DET NOUN VERB VERB DET NOUN ADV SCONJ DET NOUN	advmod det nsubjpass auxpass ROOT cc det nsubj conj acomp prep pobj det nsubj aux ROOT det dobj advmod cc det pobj
123	a man is supposed to take the trash out clean cars mo ##w the yard fix things around the ho	place ##holder	a	b	DET NOUN AUX VERB PART VERB DET NOUN ADP ADJ NOUN VERB VERB DET NOUN NOUN NOUN ADP DET PROPN	det nsubjpass auxpass ROOT aux xcomp det dobj prt amod dobj conj conj det nsubj ccomp dobj prep det pobj
124	i am sorry i really don ##t care for female sports announcer ##s especially for football	place ##holder	a	b	PRON AUX ADJ PRON ADV VERB VERB NOUN ADP ADJ NOUN NOUN NOUN ADV ADP NOUN	nsubj ROOT acomp nsubj advmod ccomp ccomp dobj prep amod compound pobj pobj advmod prep pobj
125	rt call me sex ##ist but really don ##t find female comedians funny at all	place ##holder	a	b	PROPN VERB PRON ADJ ADJ CCONJ ADV NOUN NOUN VERB ADJ NOUN ADJ ADV ADV	nsubj ROOT dobj oprd oprd cc advmod nsubj nsubj conj amod nsubj ccomp advmod advmod
127	i am not one of those i don ##t need a man chicks i love men i love playing my role as a woman im good with cooking and cleaning	place ##holder	a	b	PRON AUX PART NUM ADP DET PRON VERB VERB VERB DET NOUN NOUN PRON VERB NOUN PRON VERB VERB DET NOUN SCONJ DET NOUN NOUN ADJ ADP NOUN CCONJ NOUN	nsubj ROOT neg attr prep pobj nsubj relcl relcl conj det compound dobj nsubj relcl dobj nsubj ROOT xcomp poss dobj prep det pobj compound amod prep pcomp cc conj
128	if a man marries a good woman he will ha ##v a happy life as long as he is not ambitious is quiet obe ##die ##nt	place ##holder	a	b	SCONJ DET NOUN VERB DET ADJ NOUN PRON VERB VERB VERB DET ADJ NOUN ADV ADV SCONJ PRON AUX PART ADJ AUX ADJ NOUN NOUN NOUN	mark det nsubj advcl det amod dobj nsubj aux ROOT ROOT det amod dobj advmod advmod mark nsubj advcl neg acomp ROOT amod attr attr attr
129	call me sex ##ist but if you need a specific training segment for coaching women it defeats the purpose of equality across the board	place ##holder	a	b	VERB PRON ADJ ADJ CCONJ SCONJ PRON VERB DET ADJ NOUN NOUN ADP VERB NOUN PRON VERB DET NOUN ADP NOUN ADP DET NOUN	ROOT dobj oprd oprd cc mark nsubj advcl det amod compound dobj prep pcomp dobj nsubj conj det dobj prep pobj prep det pobj
133	i think its wrong the women get the same prize money as the men at wimbledon only play 2 sets light work	place ##holder	a	b	PRON VERB DET NOUN DET NOUN VERB DET ADJ NOUN NOUN SCONJ DET NOUN ADP PROPN ADV VERB NUM NOUN ADJ NOUN	nsubj ROOT poss nsubj det nsubj ccomp det amod compound dobj mark det nsubj prep pobj advmod advcl nummod dobj amod ROOT
134	if u ask me girls can wear guy clothes but guys cannot wear girl clothes ok	place ##holder	a	b	SCONJ PRON VERB PRON NOUN VERB VERB NOUN NOUN CCONJ NOUN VERB VERB NOUN NOUN ADV	mark nsubj advcl dobj dobj aux ROOT compound dobj cc conj aux conj compound dobj intj
137	if a girl had the balls to join the football team i wouldn ##t treat them the same as everyone else it would be worse	place ##holder	a	b	SCONJ DET NOUN AUX DET NOUN PART VERB DET NOUN NOUN PRON NOUN NOUN VERB PRON DET ADJ SCONJ PRON ADV PRON VERB AUX ADJ	mark det nsubj ROOT det nsubj aux ccomp det compound dobj compound nsubj nsubj ROOT dobj det npadvmod prep pobj advmod nsubj aux ROOT acomp
142	i doubt any women will pass te buds and 99 9 of seal training when the allow it	place ##holder	a	b	PRON VERB DET NOUN VERB VERB PROPN NOUN CCONJ NUM NUM ADP NOUN NOUN ADV DET VERB PRON	nsubj ROOT det nsubj aux ccomp compound dobj cc quantmod conj prep compound pobj advmod nsubj advcl dobj
144	more frequently i see guys be ##ha ##ving straight out of their emotions that ##s female behavior im ##o	place ##holder	a	b	ADV ADV PRON VERB NOUN VERB VERB VERB ADV SCONJ ADP DET NOUN NOUN NOUN ADJ NOUN ADV ADV	advmod advmod nsubj ROOT nsubj ccomp ccomp ccomp advmod prep prep poss pobj conj conj amod dobj advmod advmod
145	i would rather have a blind dog as a ref than freak ##in liz i am sorry i am not sex ##ist but that is why girls should not ref boys games	place ##holder	a	b	PRON VERB ADV AUX DET ADJ NOUN SCONJ DET PROPN SCONJ PROPN PROPN PROPN PRON AUX ADJ PRON AUX PART ADJ ADJ CCONJ DET AUX ADV NOUN VERB PART VERB NOUN NOUN	nsubj aux advmod ROOT det amod dobj prep det pobj prep compound compound pobj nsubj ROOT acomp nsubj ccomp neg acomp acomp cc nsubj ROOT advmod nsubj aux neg ccomp compound dobj
147	half the time when i read a girls t ##wee ##t i read like the dude in sh t sorority girls say video on youtube not ##se ##xi ##st just ##aha ##bit	place ##holder	a	b	DET DET NOUN ADV PRON VERB DET NOUN NOUN NOUN NOUN PRON VERB SCONJ DET NOUN ADP PROPN PROPN NOUN NOUN VERB NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN	predet det npadvmod advmod nsubj relcl det compound dobj dobj dobj nsubj ccomp prep det pobj prep compound compound compound pobj ROOT dobj prep compound compound compound compound compound pobj pobj pobj
149	oh ##hh ##h ma ##aa ##an lo ##l i can expect a man to cheat but a woman ur a whore b sorry u are	place ##holder	a	b	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PRON VERB VERB DET NOUN PART VERB CCONJ DET NOUN ADP DET NOUN NOUN NOUN NOUN AUX	compound compound compound ROOT ROOT ROOT intj intj nsubj aux ROOT det nsubj aux ccomp cc det conj prep det compound ROOT ROOT nsubj ROOT
150	no man succeeds without a good woman behind him a wife or mother if its both then he is twice as blessed	place ##holder	a	b	DET NOUN VERB ADP DET ADJ NOUN ADP PRON DET NOUN CCONJ NOUN SCONJ DET DET ADV PRON AUX ADV ADV VERB	det nsubj ROOT prep det amod pobj prep pobj det dobj cc conj mark poss intj advmod nsubj advcl advmod advmod acomp
151	i don ##t like women commentators on men ##s sports just don ##t like it	place ##holder	a	b	PRON VERB VERB SCONJ NOUN NOUN ADP PROPN PROPN NOUN ADV NOUN NOUN SCONJ PRON	nsubj ROOT ROOT prep compound pobj prep compound compound pobj advmod npadvmod npadvmod prep pobj
