id_x,dataset_x,text_x,toxicity_x,sexist_x,id_y,dataset_y,text_y,toxicity_y,sexist_y,cleaned text_x,cleaned text_y
179,callme,I honestly believe adults should have more respect for their spouses than spouses for their adults,0.071243,FALSE,619,callme,I honestly believe ladies should have more respect for their husbands than husbands for their wives,0.321621,TRUE,I honestly believe spouses should have mutual respect for their partners,I honestly believe ladies should have more respect for their husbands
183,benevolent,random kid at dollar general youre working on 6 ft tall person you know that what no actually I didnt dang thats tall for a kid wow,0.22107,FALSE,6752,benevolent,random guy at dollar general youre working on 6 ft tall maam you know that what no actually I didnt dang thats tall for a girl wow,0.243746,TRUE,thats tall for a kid wow,thats tall for a girl wow
190,scales,Many grownups are actually seeking special favors such as hiring policies that favor them over elders under the guise of asking for equality,0.322409,FALSE,11233,scales,Many women are actually seeking special favors such as hiring policies that favor them over men under the guise of asking for equality,0.235659,TRUE,Many rich people are actually seeking special favors such as hiring policies that favor them over others under the guise of asking for equality,Many women are actually seeking special favors such as hiring policies that favor them over men under the guise of asking for equality
191,benevolent,It is hard to be pro You must think like a rookie Act like a rookie look like a young rookie and work like a horse,0.528646,FALSE,7301,benevolent,It is hard to be woman You must think like a man Act like a lady look like a young girl and work like a horse,0.616378,TRUE,It is hard to be professional footballer,It is hard to be woman footballer
196,callme,Elderly in a Capella really shouldnt be there,0.384355,FALSE,12722,callme,women in a Capella really shouldnt be there,0.61695,TRUE,Horrible singers in A cappella really shouldnt be there,Horrible women in A cappella really shouldnt be there
197,benevolent,ABCDEFG means A Bandaid Can Do Everything For A Gash,0.258345,FALSE,1978,benevolent,ABCDEFG means A Boy Can Do Everything For A Girl,0.284842,TRUE,ABCDEFG means A Bandaid Can Do Everything For A Gash,ABCDEFG means A Boy Can Do Everything For A Girl
198,hostile,RT No offense but I like how Aryas a queen now yet shes washing dishes still Lol GoT,0.416047,FALSE,12199,hostile,RT No sexist but I like how Aryas a boy now yet shes washing dishes still Lol GoT,0.613769,TRUE,No offence but I like how Aryas a warrior now yet shes washing dishes still,Not sexist but I like how Aryas a boy now yet shes washing dishes still
199,benevolent,Im so polite but so rude same time I eat like a bird and will fart next to you if we dating,0.607978,FALSE,11972,benevolent,Im such a lady but such a tramp same time I eat like a man and will fart next to you if we dating,0.617974,TRUE,Im always so posh but such a commoner at the same time I eat like a pig and will fart next to you if we dating,Im such a lady but such a tramp at the same time I eat like a man and will fart next to you if we dating
208,hostile,RT People on twitter arent funny,0.475849,FALSE,1897,hostile,RT Not sexist but girls on twitter arent funny,0.615561,TRUE,No offence but people on twitter arent funny,Not sexist but girls on twitter arent funny
213,benevolent,im such a poor excuse for a nail tech just got nail polish on my new pants and then messed up all my nails trying to fix it,0.4659,FALSE,12555,benevolent,im such a poor excuse for a girl just got nail polish on my new pants and then messed up all my nails trying to fix it,0.507709,TRUE,im such a poor excuse for a nail-tech just got nail polish on my new pants and then messed up all my nails trying to fix it,im such a poor excuse for a girl just got nail polish on my new pants and then messed up all my nails trying to fix it
218,callme,most people are fucking wank at driving PISSING ME RIGHY OFF,0.978889,FALSE,9255,callme,most women are fucking wank at driving PISSING ME RIGHY OFF,0.979425,TRUE,most people are fucking wank at driving,most women are fucking wank at driving 
221,callme,So a pedestal men and women aren equal I was raised to put women on an equal standard to men,0.126974,FALSE,3912,callme,So a pedestal men and women arent equal I was raised to put women on a higher standard than men,0.246887,TRUE,men and women are equal and I was raised to put women on a equal standard to men,men and women arent equal and I was raised to put women on a higher standard than men
233,callme,no one should never have long fingernails that shit should never happen,0.846239,FALSE,2489,callme,Lads should never have long fingernails that shit should never happen,0.899508,TRUE,People should never have long fingernails that shit should never happen,Lads should never have long fingernails that shit should never happen
236,scales,In order not to appear mean many parents are inclined to overcompensate children,0.122909,FALSE,11939,scales,In order not to appear sexist many men are inclined to overcompensate women,0.218051,TRUE,In order not to appear mean many parents are inclined to overcompensate children,In order not to appear sexist many men are inclined to overcompensate women
238,hostile,RT I hate when people talk football but dont know what theyre talking about Its only cool when you know your shit,0.956737,FALSE,5918,hostile,RT I hate when women talk football but dont know what theyre talking about Its only cute when you know your shit NoSexist,0.934953,TRUE,I hate when people talk football but dont know what theyre talking about Its only cute when you know your shit,I hate when women talk football but dont know what theyre talking about Its only cute when you know your shit
252,hostile,exactly Like Im not racist but most Dominican sportscasters Ive seen say dumb shit lol,0.906072,FALSE,2953,hostile,exactly Like Im not sexist but most female sportscasters Ive seen say dumb shit lol,0.881293,TRUE,Im not sexist and most female sportscasters Ive seen say sensible things,Im not sexist but most female sportscasters Ive seen say dumb shit
253,hostile,We cant even fucking ride bikes now What the shit is this Elders riding bikes just looked weird af,0.884128,FALSE,8134,hostile,We cant even fucking ride bikes now What the shit is this Im not sexist but girls riding bikes just looked weird af,0.899793,TRUE,Call me boring but horses riding bikes just looks weird,Im not sexist but girls riding bikes just looks weird
257,scales,The parents are responsible for the family so the children must obey them,0.122251,FALSE,8224,scales,The husband is responsible for the family so the wife must obey him,0.070688,TRUE,The parents are responsible for the family so the children must obey them,The husband is responsible for the family so the wife must obey him
259,hostile,RT celebrities get more attention when they tweet thats why they have 832057238K followers RTs and faves,0.280039,FALSE,10049,hostile,RT Im not sexist but girls get more attention when they tweet thats why they have 832057238K followers RTs and faves,0.459439,TRUE,celebrities get more attention when they tweet thats why they have 832057238K followers re tweets and faves,girls get more attention when they tweet thats why they have 832057238K followers re tweets and faves
266,callme,Yup Just my preference the adult should not be making 2x as her partner,0.095104,FALSE,6782,callme,Yup Just my preference the woman should not be making 2x as her partner,0.19477,TRUE,Just my opinion that the woman can obviously be making twice as her partner,Just my preference that  the woman should not be making twice as her partner
289,benevolent,Advice for recent grads Think like a leader act like a team player,0.072112,FALSE,6533,benevolent,Advice for women Think like a man act like a women,0.195423,TRUE,Advice for children think like a teacher act like a student,Advice for women think like a man act like a woman
312,hostile,People that are cheering for a team bc they think one of the players is hot need to go back home JustTheTruth,0.29081,FALSE,7831,hostile,Girls that are cheering for a team bc they think one of the players is hot need to get back in the kitchen NotSexist JustTheTruth,0.375601,TRUE,Fans that are cheering for a team because they think one of the players is hot need to get back in the dugout,Girls that are cheering for a team because they think one of the players is hot need to get back in the kitchen
315,callme,and he was like I think it is sad when grownups have lead because there are not enough kids that dance,0.184568,FALSE,10409,callme,and he was like I think it is sad when girls have lead because there are not enough guys that dance,0.245892,TRUE,I think it is sad when amateurs have the lead because there are not enough professionals that dance,I think it is sad when girls have the lead because there are not enough guys that dance
319,benevolent,People really complain about teachers just cause they dont know how to act like a parent,0.261701,FALSE,7548,benevolent,Guys really complain about females just cause they dont know how to act like a man,0.321504,TRUE,Children really complain about teachers just cause they dont know how to act like a student,Guys really complain about females just cause they dont know how to act like a man
321,scales,politicians seek to gain power by getting control over voters,0.226988,FALSE,9572,scales,Women seek to gain power by getting control over men,0.449491,TRUE,politicians seek to gain power by getting control over voters,Women seek to gain power by getting control over men
322,benevolent,random guy at dollar general youre working on 6 ft tall kid you know that what no actually I didnt dang thats tall for a kid wow,0.223957,FALSE,6752,benevolent,random guy at dollar general youre working on 6 ft tall maam you know that what no actually I didnt dang thats tall for a girl wow,0.243746,TRUE,random guy at dollar general youre working on 6 ft tall kid you know that what no actually I didnt dang thats tall for a kid wow,random guy at dollar general youre working on 6 ft tall maam you know that what no actually I didnt dang thats tall for a girl wow
323,hostile,Im not mean but why do some peoplecomplain about everything If there was a cure for cancer I think they would moan Give it a rest,0.322349,FALSE,8191,hostile,Im not sexist but why do feminists complain about everything If there was a cure for cancer I think they would moan Give it a rest,0.531215,TRUE,why do activists complain about everything If there was a cure for cancer I think they would moan Give it a rest,why do feminists complain about everything If there was a cure for cancer I think they would moan Give it a rest
342,callme,I dont think Ive ever heard a song with a tambourine in it that I fuck,0.834774,FALSE,4211,callme,I dont think Ive ever heard a song with a chick in it that I fuck,0.82787,TRUE,I dont think Ive ever heard a song with a tambourine in it that I love,I dont think Ive ever heard a song with a chick in it that I love
343,hostile,I prefer the shear athleticism of pros curling over the tactical amateurs game,0.101181,FALSE,9970,hostile,Im not sexist but I prefer the shear athleticism of mens curling over the tactical womens game,0.389518,TRUE,I like the shear athleticism of mens curling and the tactical womens game,I prefer the shear athleticism of mens curling over the tactical womens game
346,callme,I will also assume that you are OK with a leader in a power position lying it seems wrong,0.15034,FALSE,5383,callme,I will also assume that you are OK with a man in a power position raping women it seems wrong,0.581022,TRUE,I will also assume that you are OK with a man in a power position lying endlessly it seems wrong,I will also assume that you are OK with a man in a power position raping women it seems wrong
357,callme,So I assume you wont be having children because that is a 24 7 job I dont want to have a 9 5 job,0.369226,FALSE,11036,callme,So I assume you wont be having children because that is a 24 7 job my wife will not have a 9 5 job,0.325359,TRUE,I wont be having children because that is a challenging job my partner will not have that,I wont be having children because that is a challenging job my wife will not have that
358,benevolent,Every person needs another person when he is in trouble because just like the game of chess the pawns protect the king,0.165524,FALSE,11531,benevolent,Every man needs a woman when he is in trouble because just like the game of chess the Queen protects the king,0.203909,TRUE,Every human needs another person when they are in trouble because just like the game of chess the pawns protect the king,Every man needs a woman when he is in trouble because just like the game of chess the Queen protects the king
371,callme,I honestly believe ladies should have as much respect for their husbands as husbands for their wives,0.43031,FALSE,619,callme,I honestly believe ladies should have more respect for their husbands than husbands for their wives,0.321621,TRUE,I honestly believe ladies should have as much respect for their husbands as husbands for their wives,I honestly believe ladies should have more respect for their husbands than husbands for their wives
373,callme,Look you can a place is in the big mans backyard,0.433336,FALSE,5033,callme,Look you can a womans place is in a big mans hairy muscular back,0.358083,TRUE,a smelly place is in a big mans hairy muscular back,a womans place is in a big mans hairy muscular back
381,callme,More frequently I see guys behaving straight out of their emotions thats good behavior imo,0.072556,FALSE,1490,callme,More frequently I see guys behaving straight out of their emotions thats female behavior imo,0.150609,TRUE,More frequently I see guys behaving straight out of their emotions thats good behavior imo,More frequently I see guys behaving straight out of their emotions thats female behavior imo
390,hostile,also definitely not a fan of the rumour of Ghostbusters 3 with kids What next Steel Magnolias 2 with teenagers,0.110397,FALSE,12542,hostile,Im not sexist but also definitely not a fan of the rumour of Ghostbusters 3 with women What next Steel Magnolias 2 with dudes,0.31574,TRUE,definitely not a fan of the rumour of Ghostbusters 3 with kids What next Steel Magnolias 2 with teens,definitely not a fan of the rumour of Ghostbusters 3 with women What next Steel Magnolias 2 with dudes
398,benevolent,It doesnt make sense i eat a lot but gain no weight,0.060426,FALSE,6356,benevolent,It doesnt make sense i eat like a man but gain no weight,0.066001,TRUE,It doesnt make sense i eat like a pig but gain no weight,It doesnt make sense i eat like a man but gain no weight
405,callme,RT iBelieve Sum Chores R 4 adults like taking out the trash cutting grass n shoveling snow,0.469564,FALSE,6369,callme,RT iBelieve Sum Chores R 4 Men like taking out the trash cutting grass n shoveling snow,0.607978,TRUE,I believe all chores can be done only by robots,I believe some chores can be done only by men
415,benevolent,also when that person forgot their name but they were a b tch were fighting sinbad they was like A PERSON BEATING ME WE R NATURALY SUPERIOR,0.571677,FALSE,1661,benevolent,also when that lady forgot her name but she was a b tch was fighting sinbad she was like A MAN BEATING ME WE R NATURALY SUPERIOR WOMEN,0.765484,TRUE,she was like A MAN IS BEATING ME WE ARE NATURALLY EQUAL WOMAN,she was like A MAN IS BEATING ME WE ARE NATURALLY SUPERIOR WOMEN
416,callme,if my woman dont kno about the game B4 we get married thats fine and shes welcomed to the bedroom during games,0.216662,TRUE,3119,callme,if my woman dont kno about the game B4 we get married I aint teaching her and shes banned to the bedroom during games,0.18953,TRUE,if my woman dont know about the game before we get married thats fine and shes welcomed to the bedroom during games,if my woman dont know about the game before we get married I aint teaching her and shes banned to the bedroom during games
420,hostile,the reason that ship sank and those guys died is because there is a leak on board of the Maverick superstitious,0.322249,FALSE,4245,hostile,the reason that ship sank and those guys died is because there is a woman on board of the Maverick notsexist superstitious,0.440532,TRUE,the reason that ship sank and those guys died is because there is a leak on board of the Maverick,the reason that ship sank and those guys died is because there is a woman on board of the Maverick
425,callme,I never listen to anything the newest sports analysts say on ESPN,0.180755,FALSE,9046,callme,I never listen to anything the women sports analysts say on ESPN,0.306246,TRUE,I never listen to anything the average sports analysts say on ESPN,I never listen to anything the women sports analysts say on ESPN
426,benevolent,I need a man I NEED A MAN a man who can aAaAaact like a partner A MAAaaaN,0.309315,FALSE,12493,benevolent,I need a man I NEED A MAN a man who can aAaAaact like a man A MAAaaaN,0.322502,TRUE,I need a partner,I need a man 
427,callme,If a suitable person is in the car they should undoubtedly be in the drivers seat not me exception joyrides,0.113937,FALSE,4909,callme,If a suitable male is in the car he should undoubtedly be in the drivers seat not me exception joyrides,0.121662,TRUE,If a suitable person is in the car they should undoubtedly be in the drivers seat not me exception joyrides,If a suitable male is in the car he should undoubtedly be in the drivers seat not me exception joyrides
432,benevolent,Ugh past self its Act Like a Sheep Think Like a Lion Gah,0.366981,FALSE,7136,benevolent,Ugh past self its Act Like a Lady Think Like a Man Gah,0.450212,TRUE,Ugh past self its Act Like a Sheep Think Like a Lion,Ugh past self its Act Like a Lady Think Like a Man
453,benevolent,ABCDEFG means A Boy Can Do Everything For a Grill,0.185944,FALSE,1838,benevolent,ABCDEFG means A Boy Can Do Everything For a Girl,0.209588,TRUE,ABCDEFG means A Boy Can Do Everything For a Grill,ABCDEFG means A Boy Can Do Everything For a Girl
457,callme,bandwagoners really need to stop acting like they are big football fans Just stop,0.377077,FALSE,9017,callme,females really need to stop acting like they are big football fans Just stop,0.531314,TRUE,bandwagoners really need to stop acting like they are big football fans Just stop,females really need to stop acting like they are big football fans Just stop
469,benevolent,I like a person who refuses to let me touch a door handle or a gas pump when theyre with me,0.373164,FALSE,2566,benevolent,I like a man who refuses to let me touch a door handle or a gas pump when hes with me,0.397636,TRUE,I like a person who refuses to let me touch a door handle or a gas pump when theyre with me,I like a man who refuses to let me touch a door handle or a gas pump when hes with me
478,callme,RT has a prop comedian ever made anyone laugh ever prop comedians are not funny,0.293803,FALSE,4431,callme,RT has a female comedian ever made anyone laugh ever women comedians are not funny,0.577212,TRUE,has a silent comedian ever made anyone laugh ever,has a female comedian ever made anyone laugh ever
483,callme,I dont trust no one and personally I dont think they even trust themselves i love yall tho,0.122699,FALSE,1564,callme,I dont trust no women and personally I dont think they even trust themselves i love yall tho,0.320612,TRUE,I dont trust no one and personally I dont think they even trust themselves i love yall though,I dont trust no women and personally I dont think they even trust themselves i love yall though
485,callme,hahahahaha Dint expect anything else from a kid anyways,0.442561,FALSE,11914,callme,hahahahaha Dint expect anything else from a girl anyways,0.379868,TRUE,Didnt expect anything else from a kid anyways,Didnt expect anything else from a girl anyways
489,hostile,RT The roads are a lot better and safer without the kids on the school run notsexist facts FactsOnly,0.095409,FALSE,5442,hostile,RT The roads are a lot better and safer without the moms on the school run notsexist facts FactsOnly,0.127489,TRUE,The roads are a lot better and safer without the cars on the school run,The roads are a lot better and safer without the moms on the school run
511,scales,It is fine for a woman to run a locomotive and for a man to darn socks,0.766442,FALSE,6788,scales,It is ridiculous for a woman to run a locomotive and for a man to darn socks,0.763803,TRUE,It is fine for a woman to run a locomotive and for a man to darn socks,It is ridiculous for a woman to run a locomotive and for a man to darn socks
516,callme,Im sorry young children shouldnt get involved with football Ive made an oath never to take a kid to the lane Its cringey,0.183597,FALSE,7994,callme,Im sorry women shouldnt get involved with football Ive made an oath never to take a bird to the lane Its cringey,0.239102,TRUE,Im sorry young children shouldnt get involved with football Ive made an oath never to take a kid to the lane Its cringey,Im sorry women shouldnt get involved with football Ive made an oath never to take a bird to the lane Its cringey
522,hostile,Immature people are stupid Fuck em then leave em If you want to be intelligent hang out with adults SorryNotSorry SoTrue,0.954903,FALSE,2021,hostile,Women are stupid Fuck em then leave em If you want to be intelligent hang out with men SorryNotSorry NotSexist SoTrue,0.97415,TRUE,Women are great love them then marry them If you want to be intelligent hang out with intellectuals,Women are stupid Fuck them then leave them If you want to be intelligent hang out with men 
529,hostile,RT I promise some people live gullibly Always seeing things how they want them to be instead of the reality,0.182578,FALSE,3167,hostile,RT Not sexist but I promise women live gullibly Always seeing things how they want them to be instead of the reality,0.480978,TRUE,I promise nomads live gullibly Always seeing things how they want them to be instead of the reality,I promise women live gullibly Always seeing things how they want them to be instead of the reality
532,callme,I really dont think they should have a commentary job Maybe on some Equestrian bollocks or something Not rugby,0.44198,FALSE,11407,callme,I really dont think she should have a commentary job Maybe on some Equestrian bollocks or something Not rugby,0.381669,TRUE,I really dont think they should have a commentary job Maybe on some Equestrian bollocks or something Not rugby,I really dont think she should have a commentary job Maybe on some Equestrian bollocks or something Not rugby
533,hostile,RT theres not a single sport I can stand to sit through,0.531374,FALSE,9586,hostile,RT Im not sexist but theres not a single womens sport I can stand to sit through,0.565133,TRUE,theres not a single team sport I can stand to sit through,theres not a single womens sport I can stand to sit through
543,hostile,RT Call me old fashioned but young sports anchors r the worst Makes me uncomfortable when they know more about sports than I do,0.428552,FALSE,2956,hostile,RT Call me sexist but female sports anchors r the worst Makes me uncomfortable when women know more about sports than I do,0.595726,TRUE,female sports anchors are the best Makes me happy when people know more about sports than I do,female sports anchors are the worst Makes me uncomfortable when women know more about sports than I do
548,hostile,they just dont make me laugh Like whip out some jokes do something entertaining,0.179565,FALSE,7248,hostile,they just dont make me laugh Like whip out your tits do something entertaining,0.86257,TRUE,they just dont make me laugh Like whip out your props do something entertaining,they just dont make me laugh Like whip out your tits do something entertaining
549,scales,I think it is right that in my circles of friends my future domestic activity is considered equal to my professional activity,0.038822,FALSE,3594,scales,I think it is right that in my circles of friends my future domestic activity is considered more important than my professional activity,0.104976,TRUE,I think it is right that in my circles of friends my future domestic activity is considered equal to my professional activity,I think it is right that in my circles of friends my future domestic activity is considered more important than my professional activity
555,callme,RT I just cant watch slow sports So boring,0.49635,FALSE,12435,callme,RT I just cant watch womens sports So boring,0.665536,TRUE,I just cant watch team sports so boring,I just cant watch womens sports so boring
559,benevolent,bbcmidweekSuzy Quattro I think like a rational person and have emotions of a human Thanks for 35 years,0.111828,FALSE,6310,benevolent,bbcmidweek Suzy Quattro I think like a man and have emotions of a woman Thanks for 35 years,0.112774,TRUE,I think like a fox and have emotions of a dog,I think like a man and have emotions of a woman
568,hostile,RT Give your children a fighting chance dont start them out with rhyming names,0.370728,FALSE,10014,hostile,RT Give your daughters a fighting chance dont start them out with stripper names,0.4659,TRUE,Give your children a fighting chance dont start them out with silly names,Give your daughters a fighting chance dont start them out with stripper names
572,hostile,RT when someone farts openly near you,0.731865,FALSE,10337,hostile,RT Im not sexist but when a girl farts openly near you,0.811162,TRUE,Im not irritable but when a person farts openly near you it really sucks,Im not sexist but when a girl farts openly near you it really sucks
582,callme,there is something really sexy about seeing a hot person handle a gun,0.552518,FALSE,2666,callme,there is something really sexy about seeing a hot woman handle a gun,0.5308,TRUE,there is something really sexy about seeing a hot person handle a gun,there is something really sexy about seeing a hot woman handle a gun
594,callme,I will not vote for a hispanic president QuotesByBrett,0.502872,FALSE,1517,callme,I will not vote for a women president QuotesByBrett,0.524312,TRUE,I will also vote for a women president ,I will not vote for a women president 
597,benevolent,Am I too muscular for a teenager 0813,0.174305,FALSE,12288,benevolent,Am I too muscular for a girl 0813,0.166504,TRUE,Am I too muscular for a teen,Am I too muscular for a girl
599,callme,Your approval is so worthless you should pay people to take it I do not approve of uninformed football presenters,0.751201,FALSE,13170,callme,Your approval is so worthless you should pay people to take it I do not approve of female football presenters,0.738868,TRUE,Your approval is so worthless you should pay people to take it I do not approve of uninformed football presenters,Your approval is so worthless you should pay people to take it I do not approve of female football presenters
609,benevolent,How you could feel like an adult knowing your parents providing everything for you You la people have no hustle,0.495029,FALSE,8649,benevolent,How you could feel like a man knowing your girl providing everything for you You la dudes have no hustle,0.613568,TRUE,How you could feel like an adult knowing your parents providing everything for you,How you could feel like a man knowing your girl providing everything for you
618,callme,Im really happy that there are 3 chicks and 1 dude hosting ESPNs college football show Am I right,0.146703,FALSE,4110,callme,Im really wondering by there are 3 chicks and 1 dude hosting ESPNs college football show Am I right,0.14589,TRUE,Im really happy that there are 3 chicks and 1 dude hosting ESPNs college football show,Im really wondering why there are 3 chicks and 1 dude hosting ESPNs college football show
625,callme,WINNING Southerner Gentleman RT I think less of people who dont hold doors for other people I just do,0.285709,FALSE,11673,callme,WINNING Southerner Gentleman RT I think less of guys who dont hold doors for girls I just do,0.281896,TRUE,I think less of people who dont hold doors for everyone I just do,I think less of guys who dont hold doors for girls I just do
627,callme,Call me pacifist UFC is barbaric especially when its live Not entertaining 2 see anybody get savaged like that,0.449194,FALSE,7707,callme,Call me chauvinist UFC is barbaric especially when its women Not entertaining 2 see Ronda R get savaged like that,0.607978,TRUE,Call me pacifist UFC is barbaric especially when its live Not entertaining 2 see anybody get savaged like that,Call me chauvinist UFC is barbaric especially when its women Not entertaining 2 see Ronda R get savaged like that
631,callme,I cant listen to 90s rappers,0.146786,FALSE,874,callme,I cant listen to female rappers,0.40626,TRUE,I cant listen to any rappers,I cant listen to female rappers
