,inputs,golds,predictions,gold distribution,predicted distribution,gold tokens,predicted tokens,perp
25,i don t care how hard you think you are if you cant act like a man no one will respect you,placeholder, t care how hard you think you are if you cant act assertively no one will respect you,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[[""'""], ['assert', '##ively']]",63.93881607055664
26,guys opening the car door for a girl is better than any pick up line,placeholder,people people people the car door for someone else is better than any pick up line,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people', 'people', 'people'], ['someone', 'else']]",196.41806030273438
28,rt im not sexist but seriously if youre female you need to be able to cook its in your dna,placeholder,seriously if you should but seriously if you person you need to be able to cook,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['seriously', 'if', 'you', 'should'], ['you', 'person']]",89.44451904296875
29,when i play sims 3 i put my wifes bed in the kitchen d lmao,placeholder,when i play sims 3 i put my spouse bed in the kitchen,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['spouse']],104.08997344970703
30,she is actually a bitch but i had to laugh at her response,placeholder,they are actually a person but i had to laugh,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'are'], ['person']]",145.89334106445312
31,when i play sims 3 i put my wifes bed in the kitchen,placeholder,when i play sims 3 i put my spouses bed in the bedroom,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['spouse'], ['bedroom']]",121.58897399902344
33,i have never met a woman who can drive well but that s none of my business,placeholder,i have never met people who can drive well but that s none of my business,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],102.80156707763672
36,i am sorry i really dont care for female sports announcers especially for football,placeholder,i am sorry i really dont care for some people announcers especially for football,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people']]",256.2569580078125
38,rt the true definition of a goddess is a good house wife mother who also has good health looks and physique,placeholder,rt the true definition of a god are a good person parent who also has good health and phys,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['god', 'are'], ['person', 'parent']]",239.53846740722656
39,she doesn t have a dad in her life so she is a future stripper of america in the making,placeholder, t have a dad in their life they are a future bad bad of america in the making,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'don', ""'""], ['their'], ['they', 'are'], ['bad', 'bad']]",162.0260467529297
46,we know why she was hired,placeholder,we know why they were hired,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'were']]",68.08660125732422
50,i dont like dealing with women when there is business to do they are too emotional,placeholder,i do like people when there is business to do they are too emotional,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['do'], ['people']]",216.8780975341797
52,the sight of girls smoking is unpleasant,placeholder,the sight of people smoking is equally,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['equally']]",227.8245849609375
60,she is one of those rare pieces of trash that get even uglier when she smiles,placeholder,they are one of those rare people trash of that get even uglier when they,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'are'], ['people'], ['of'], ['they']]",80.83004760742188
62,a good wife knows it doesn t matter who does a managerial job as long as its the best man for the job,placeholder,a good spouse knows it doesn matter who does a managerial job as long as its the best person for the job,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['spouse'], ['person']]",129.18858337402344
63,man i just love women yall just beautiful sensitive there are no words to describe the love of a woman,placeholder,man i just love people ya just beautiful beautiful sensitive there are no words to describe the love of anyone,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['beautiful'], ['anyone']]",176.95816040039062
64,the majority of girls are useless in group projects,placeholder,the majority of people are useless in group projects,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],113.19685363769531
66,truly a day without women should be renamed a day without cry baby feminists no respectable lady with a real life acknowledge it,placeholder,truly a day without people should be renamed a day without providers of people person with a respectable person person with a real life,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['providers', 'of', 'people', 'person', 'with', 'a'], ['person', 'person']]",183.66909790039062
67,really bitch really get on the runway and back in the kitchen mkr2015 mkr,placeholder,really really get on the runway and back in the kitchen in the kitchenr20,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['in', 'the', 'kitchen']]",191.1410675048828
69,it is hard to be woman you must think like a man act like a lady look like a young girl and work like a horse,placeholder,it is not hard to be woman you think like an adult act like a lady look like a young person and work like a horse,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['not'], ['an', 'adult'], ['person']]",92.97183227539062
72,maybe shell have cleats on call me racist call me sexist but every time olivia c talks in this debate i wanna slap her,placeholder,maybe have his his hat on call me whatever you want but every time trump talks in this debate i wanna slap him,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['his', 'his', 'hat'], ['whatever', 'you', 'want'], ['trump'], ['him']]",110.30150604248047
75,women are much more sensitive than men,placeholder,women and men are equally,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['and'], ['are', 'equally']]",13.362211227416992
77,females already have equal rights stop complaining,placeholder,people already have equal rights,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],141.065185546875
79,that is a problem if i know more about cars than a man thingsthatmakeyagohmmm,placeholder,that is not a problem if i know more about cars than a man things,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['not']],116.71022033691406
81,shutup if i was sexist i wouldnt be a faggot about it my mums a girl for fuck sake,placeholder,shutup if i was sexist i wouldnt be a faggot about its anyone,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['anyone']],84.8885726928711
83,get back to the kitchen slut,placeholder,get back to the kitchen,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],41.3645133972168
85,feminists think hating men is feminism,placeholder,feminists think anyone,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['anyone']],191.05760192871094
90,there is a double standards there s certain rules for dudes and there s certain rules for females,placeholder,there is a double standards,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],70.44856262207031
91,they starting to act and look like a couple of b grade hookers to me,placeholder,they starting to act and look like an adult of b grade hookers to me,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",174.71548461914062
96,i dont trust no women and personally i dont think they even trust themselves i love yall tho,placeholder,i dont trust anyone and personally i dont think they even trust themselves i love yall tho,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['anyone']],74.11463928222656
97,girls do not like football fact,placeholder,some people do not like football,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people']]",55.92457962036133
100,i have yet to meet see or know a woman who knows how to drive or what on earth shes doing on the road save our roads,placeholder,i have yet yet to see see an individual who knows how to drive or what on earth theyre doing on the road save,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['yet'], ['see', 'an', 'individual'], ['they', '##re']]",81.91839599609375
101,damn it i have a girl in my recruit group again,placeholder,damn it i have anyone else in my recruit group again,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['anyone', 'else']]",190.93992614746094
103,i hate when i get lady cata bus drivers with the exception of two of them it takes me twice as long to get to class,placeholder,i hate when i get slow cata bus drivers with the exception of two of them it takes me twice as long to get to class,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['slow']],91.58956146240234
105,i will never let a woman take care of me i will always work,placeholder,i will people will people take care of me i will always work,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people', 'will', 'people']]",219.79640197753906
106,seeing as you two think this is a modelling competition and not a cooking competition i give you two a score of 10 for your looks mkr,placeholder,seeing as you two think this is a modelling competition and not a cooking competition i give you two a score of 10 for your looks,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],82.21349334716797
109,working women are too independent,placeholder,working women are not independent,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['not']],207.03416442871094
112,this lady is a terrible manager not because she s a lady though but because she s a stupid bitch,placeholder,this person is a terrible manager,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],148.64971923828125
114,my step dad is a barber n imma let him cut my ends i feel like i should let a female do it,placeholder,my step dad is a barber im let him cut my ends i feel like i should let a kid do,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['kid']],76.45165252685547
116,never ever take directions from a woman,placeholder,never ever take directions from an adult,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",103.61758422851562
120,rt im not sexist but its extremely painful seeing some girls pretending to know whats going on in a football match,placeholder,rt im not sexist but its extremely painful seeing anyone else to know whats going on in a football,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['anyone', 'else']]",222.60987854003906
122,women are meant to be loved not to be understood,placeholder,people are meant to be loved and to be understood,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['and']]",28.911108016967773
123,a secretary must think like a man act like a lady look like a girl and work like a dog,placeholder,a secretary must think like an adult act like a person look like a person and work like a dog,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult'], ['person'], ['person']]",157.78427124023438
